number	name	parent	parent_name	a_p	a_p_err	e_p	e_p_err	sin_i_p	sin_i_p_err	g	g_err	h	h_err	mass	mass_err	diameter	diameter_err	inverse_diameter	inverse_diameter_err	albedo	albedo_err
2877	Likhachev	24	Themis	3.1121	nan	0.1751	nan	0.0222	nan	0.15	nan	12.30	nan	nan	nan	19.57	0.397	0.05100	0.001036	0.076	0.0106
2906	Caltech	nan	None	3.1629	nan	0.1609	nan	0.4915	nan	0.15	nan	10.25	nan	nan	nan	59.43	0.462	0.01675	0.000130	0.050	0.0026
2918	Salazar	24	Themis	3.1747	nan	0.1406	nan	0.0232	nan	0.15	nan	12.09	nan	nan	nan	20.28	0.261	0.04914	0.000632	0.067	0.0111
2930	Euripides	1726	Hoffmeister	2.7802	nan	0.0466	nan	0.0759	nan	0.15	nan	13.12	nan	nan	nan	19.26	1.073	0.05105	0.002841	0.035	0.0117
2939	Coconino	nan	None	2.4398	nan	0.1874	nan	0.0769	nan	0.15	nan	12.64	nan	nan	nan	5.61	0.177	0.17835	0.005630	0.512	0.0430
2973	Paola	44	Nysa	2.4687	nan	0.1491	nan	0.0375	nan	0.15	nan	13.19	nan	nan	nan	12.92	0.073	0.07583	0.000429	0.044	0.0050
2976	Lautaro	87	Sylvia	3.3576	nan	0.0985	nan	0.1739	nan	0.15	nan	10.95	nan	nan	nan	46.59	0.096	0.02137	0.000044	0.037	0.0024
2978	Roudebush	24	Themis	3.0999	nan	0.1509	nan	0.0348	nan	0.15	nan	12.29	nan	nan	nan	18.83	0.477	0.05308	0.001346	0.072	0.0059
2981	Chagall	24	Themis	3.1458	nan	0.1787	nan	0.0254	nan	0.15	nan	12.66	nan	nan	nan	15.41	0.609	0.06473	0.002557	0.106	0.0265
2986	Mrinalini	nan	None	3.1745	nan	0.1302	nan	0.0334	nan	0.15	nan	12.18	nan	nan	nan	19.89	0.242	0.04983	0.000607	0.068	0.0035
2990	Trimberger	44	Nysa	2.4388	nan	0.1518	nan	0.0501	nan	0.15	nan	13.88	nan	nan	nan	10.34	0.434	0.09568	0.004019	0.055	0.0095
2992	Vondel	nan	None	2.7463	nan	0.1880	nan	0.1290	nan	0.15	nan	13.53	nan	nan	nan	10.49	0.157	0.09508	0.001420	0.085	0.0112
3000	Leonardo	nan	None	2.3512	nan	0.1477	nan	0.0553	nan	0.15	nan	13.86	nan	nan	nan	9.83	0.066	0.10169	0.000681	0.106	0.0062
3042	Zelinsky	8	Flora	2.2774	nan	0.1755	nan	0.1013	nan	0.15	nan	13.99	nan	nan	nan	nan	nan	nan	nan	nan	nan
